,source,target
1199,144,871
1200,144,872
1201,144,873
1202,145,66
1203,145,874
1204,146,134
1205,146,66
1206,147,875
1207,147,876
1208,147,877
1209,147,878
1210,147,879
1211,147,880
1212,147,881
1213,147,882
1214,147,883
1215,147,884
1216,148,885
1217,148,886
1218,148,887
1219,148,888
1220,148,889
1221,148,890
1222,148,891
1223,148,892
1224,148,893
1225,148,894
1226,148,895
1227,148,896
1228,148,897
1229,148,898
1230,148,899
1231,148,900
1232,148,901
1233,148,902
1234,148,903
1235,148,904
1236,148,905
1237,148,906
1238,148,907
1239,148,908
1240,149,909
1241,149,910
1242,149,911
1243,150,910
1244,150,912
1245,150,913
1246,150,911
1247,151,910
1248,151,911
1249,152,819
1250,152,914
1251,152,9
1252,153,915
1253,153,916
1254,153,917
1255,153,918
1256,153,919
1257,153,920
1258,153,921
1259,153,922
1260,153,923
1261,153,924
1262,153,925
1263,153,926
1264,153,927
1265,153,928
1266,153,929
1267,153,930
1268,153,931
1269,153,932
1270,154,673
1271,155,933
1272,155,195
1273,155,673
1274,155,934
1275,155,935
1276,155,417
1277,155,936
1278,155,154
1279,155,39
1280,155,2
1281,155,44
1282,156,937
1283,156,168
1284,156,938
1285,156,939
1286,156,940
1287,156,941
1288,156,942
1289,156,673
1290,156,943
1291,156,944
1292,156,945
1293,156,946
1294,156,947
1295,156,948
1296,156,949
1297,157,950
1298,158,951
1299,158,952
1300,158,953
1301,158,954
1302,158,955
1303,159,956
1304,159,957
1305,159,958
1306,159,959
1307,159,960
1308,159,961
1309,159,962
1310,159,963
1311,159,964
1312,159,965
1313,159,966
1314,159,967
1315,159,968
1316,160,168
1317,160,969
1318,160,941
1319,160,970
1320,160,971
1321,161,972
1322,161,973
1323,161,974
1324,161,673
1325,161,625
1326,161,975
1327,162,937
1328,162,976
1329,162,977
1330,162,978
1331,162,979
1332,162,980
1333,163,981
1334,163,982
1335,163,161
1336,163,983
1337,163,984
1338,163,985
1339,163,986
1340,164,987
1341,164,988
1342,164,989
1343,164,990
1344,164,991
1345,164,992
1346,164,993
1347,164,994
1348,164,995
1349,164,996
1350,164,997
1351,164,998
1352,164,999
1353,164,1000
1354,164,1001
1355,164,1002
1356,165,1003
1357,165,1004
1358,165,1005
1359,165,1006
1360,166,1007
1361,166,1008
1362,166,1009
1363,167,1010
1364,168,1011
1365,168,937
1366,168,972
1367,168,1012
1368,168,1013
1369,168,160
1370,168,673
1371,168,971
1372,168,45
1373,168,285
1374,168,161
1375,169,1014
1376,169,1015
1377,169,1016
1378,169,1017
1379,169,1018
1380,169,1019
1381,169,1020
1382,170,445
1383,170,295
1384,170,1021
1385,170,81
1386,171,1022
1387,171,1023
1388,171,1024
1389,171,1025
1390,171,1026
1391,171,1027
1392,171,213
1393,171,1028
1394,171,1029
1395,171,1030
1396,171,1031
1397,171,34
1398,171,1032
1399,171,585
1400,172,278
1401,172,1033
1402,172,1034
1403,172,49
1404,172,79
1405,173,305
1406,173,1035
1407,173,1036
1408,173,1037
1409,173,1038
1410,173,1039
1411,173,1040
1412,174,1041
1413,174,1042
1414,174,1043
1415,174,1044
1416,174,1045
1417,174,1046
1418,174,1047
1419,174,1048
1420,174,175
1421,174,1049
1422,174,1050
1423,174,1051
1424,174,159
1425,174,963
1426,174,75
1427,174,1052
1428,174,1053
1429,174,1054
1430,175,1055
1431,175,1056
1432,175,1057
1433,175,1058
1434,175,1059
1435,175,1044
1436,175,1060
1437,175,1061
1438,175,1062
1439,175,1063
1440,175,1064
1441,175,1065
1442,175,1066
1443,175,1067
1444,175,1049
1445,175,1050
1446,175,174
1447,175,1068
1448,175,963
1449,175,1069
1450,175,1070
1451,175,1071
1452,175,1072
1453,175,1073
1454,175,1074
1455,175,1075
1456,175,1076
1457,176,278
1458,176,1033
1459,176,1034
1460,176,49
1461,176,79
1462,177,1077
1463,177,1078
1464,178,1079
1465,178,1080
1466,179,182
1467,179,77
1468,179,178
1469,180,1081
1470,180,1082
1471,180,1083
1472,180,77
1473,180,619
1474,181,1022
1475,181,1084
1476,181,278
1477,181,91
1478,181,10
1479,181,197
1480,181,190
1481,181,445
1482,181,637
1483,181,192
1484,181,1085
1485,181,248
1486,181,188
1487,181,1086
1488,181,1087
1489,181,5
1490,181,1088
1491,181,93
1492,181,80
1493,181,184
